rcid,TOTALRAISED,YEARFOUNDED,EMPLOYEES,REVENUE,Bankrupt,Acquired_IPO,DEALSIZE,SeriesA
215606,1.2018,2018.0,13.0,,0.0,0.0,1.2,0.0
215640,10.02422,2014.0,40.0,,0.0,0.0,5.2869850000000005,1.0
215731,14.597151,2006.0,338.0,10.0,0.0,0.0,5.0,1.0
215827,,,,,,,,0.0
215948,,2004.0,5.0,,0.0,1.0,,0.0
215960,3.12,2020.0,6.0,,0.0,0.0,3.1,0.0
216046,0.25,1999.0,158.0,,0.0,0.0,0.25,0.0
216113,135.0,2014.0,95.0,,0.0,0.0,65.0,0.0
216198,16.199945,2005.0,,,0.0,1.0,10.199945,1.0
216213,135.599571,2004.0,81.0,,0.0,1.0,70.0,1.0
216297,1.86,2015.0,,,1.0,0.0,1.86,0.0
216404,0.75,2018.0,24.0,0.735,0.0,0.0,5.0,0.0
216420,15.97,2014.0,47.0,3.9,0.0,1.0,8.5,1.0
216458,,2009.0,19.0,,0.0,1.0,,0.0
216479,25.0,2002.0,174.0,,0.0,1.0,25.0,0.0
216609,62.470029,2008.0,7.0,,0.0,1.0,100.0,1.0
216668,11.8,2014.0,9.0,,0.0,1.0,9.15,1.0
216670,5.075581,2013.0,8.0,0.2,0.0,1.0,3.1710000000000003,1.0
216747,,2001.0,975.0,5.6,0.0,0.0,,
216822,11.70849,2008.0,8.0,0.02797,0.0,1.0,4.72349,0.0
216838,13.999999,2007.0,15.0,7.79,1.0,0.0,7.25,1.0
216863,1039.39868173,1994.0,1600.0,,0.0,0.0,778.286,0.0
216932,9.949999,2011.0,30.0,,0.0,1.0,5.0,1.0
217060,0.05,2014.0,2.0,,1.0,0.0,0.1,0.0
217248,,2003.0,,,0.0,1.0,,0.0
217260,0.06,2019.0,,,0.0,0.0,0.06,0.0
217309,5.3,2022.0,13.0,,0.0,0.0,2.8,0.0
217424,9.922676,2018.0,17.0,0.256105,0.0,0.0,7.475,0.0
217511,0.1,2010.0,11.0,,1.0,0.0,0.5,0.0
217650,19.973529,2014.0,32.0,20.0,0.0,1.0,27.0,1.0
217722,10.027297,2012.0,17.0,,0.0,0.0,4.75,0.0
217767,15.9,2018.0,12.0,,0.0,1.0,8.6,0.0
217919,2.354999,2013.0,23.0,0.12,0.0,0.0,1.04,0.0
217976,3.634997,2014.0,12.0,,0.0,1.0,3.634997,0.0
218060,0.62,2017.0,7.0,,0.0,1.0,0.5,0.0
218103,0.7,2015.0,6.0,,1.0,0.0,0.575,0.0
218116,1.0,2013.0,9.0,1.0,0.0,1.0,1.0,0.0
218124,,2007.0,11.0,,0.0,1.0,,0.0
218156,,,,,,,0.06142821,0.0
218236,7.3,2005.0,,,0.0,1.0,6.1000000000000005,1.0
218269,,2003.0,81.0,,0.0,1.0,,0.0
218293,,2005.0,55.0,,0.0,1.0,,0.0
218414,,2002.0,13.0,2.9,0.0,1.0,4.62,0.0
218510,0.65,2013.0,31.0,,0.0,0.0,0.65,0.0
218596,19.781,2015.0,21.0,,0.0,0.0,15.0,1.0
218611,,2004.0,,,0.0,1.0,,0.0
218636,11.699997,2013.0,26.0,,0.0,1.0,8.499997,1.0
218700,0.45,2001.0,82.0,6.6000000000000005,0.0,1.0,0.45,0.0
218888,,2008.0,49.0,,0.0,1.0,,0.0
218945,3.7,2011.0,15.0,,0.0,1.0,3.2,1.0
219152,0.025,2014.0,6.0,,1.0,0.0,0.025,0.0
219226,,2016.0,,,0.0,1.0,,0.0
219241,0.1,2015.0,9.0,0.01,1.0,0.0,0.06,0.0
219261,7.505,2014.0,6000.0,114.7,0.0,0.0,4.5200000000000005,0.0
219262,20.990016,2015.0,100.0,,0.0,1.0,12.99,1.0
219325,,2001.0,69.0,,0.0,0.0,0.647502,0.0
219352,,2017.0,23.0,,0.0,1.0,0.016,0.0
219418,,2007.0,51.0,,0.0,1.0,,0.0
219449,8.622064,2010.0,15.0,,0.0,0.0,5.220077,1.0
219499,1.835,2013.0,10.0,,0.0,0.0,1.7,0.0
219612,,2011.0,257.0,8.402,0.0,1.0,66.2,0.0
219623,9.239989,2014.0,5.0,312.68274641,0.0,1.0,4.000001,0.0
219629,73.075005,2010.0,55.0,21.555,0.0,0.0,65.000005,1.0
219741,,,,,,,31.4,0.0
219785,34.41341336,2013.0,51.0,5.0,0.0,0.0,25.0,1.0
219834,,2018.0,4.0,,0.0,1.0,,
219893,3.498231,2018.0,12.0,,0.0,1.0,3.3032310000000003,0.0
219912,0.55417627,2018.0,,,0.0,0.0,0.55417627,0.0
220075,0.1,2013.0,12.0,,0.0,0.0,0.1,0.0
220088,8.844995,2020.0,27.0,,0.0,0.0,8.844995,0.0
220105,,2012.0,,,0.0,1.0,,0.0
220136,4.358688,2014.0,9.0,,0.0,0.0,3.0500000000000003,1.0
220146,0.5700000000000001,2008.0,,,0.0,1.0,4.7,0.0
220170,,2009.0,8.0,,0.0,0.0,,0.0
220206,2.800001,2012.0,25.0,,0.0,1.0,2.800001,0.0
220221,52.404828,2016.0,68.0,,0.0,0.0,30.0,1.0
220252,0.357,2012.0,8.0,,0.0,0.0,0.357,0.0
220354,0.35,2014.0,5.0,,0.0,0.0,0.35,0.0
220365,2.0,2015.0,11.0,,0.0,1.0,2.0,0.0
220385,581.085,1989.0,1706.0,350.0,0.0,1.0,570.0,0.0
220386,21.6,1999.0,14.0,,0.0,1.0,10.02,0.0
220408,,2006.0,,,0.0,1.0,,0.0
220443,,2008.0,41.0,7.5,0.0,1.0,0.6970000000000001,0.0
220581,0.25,2000.0,15.0,1.0,0.0,0.0,0.25,0.0
220595,,2014.0,11.0,,1.0,0.0,,0.0
220764,2.69,2014.0,24.0,1.0,0.0,0.0,2.69,0.0
220875,1.0,2011.0,7.0,,0.0,0.0,0.75,0.0
221133,1.0,2012.0,20.0,,0.0,0.0,1.0,0.0
221194,,2001.0,20.0,,0.0,1.0,,0.0
221212,68.499965,1999.0,,,0.0,1.0,143.0,1.0
221338,222.16666,2011.0,54.0,0.0,1.0,1.0,74.666662,1.0
221358,236.179074,2012.0,140.0,85.0,0.0,0.0,117.179074,1.0
221446,6.686462,2019.0,30.0,,0.0,0.0,3.5,0.0
221538,0.5,2014.0,7.0,,0.0,1.0,0.909894,0.0
221635,24.66172,2005.0,129.0,11.5,0.0,1.0,52.3,1.0
221669,4.0105,2009.0,11.0,,0.0,1.0,2.0105,1.0
221730,,2011.0,8.0,,1.0,0.0,,0.0
221768,,2001.0,15.0,3.17,0.0,0.0,0.125045,0.0
221783,9.81136,2019.0,15.0,,0.0,0.0,8.06136,1.0
221825,2.35,2020.0,10.0,,0.0,1.0,7.61,0.0
221830,,,,,0.0,1.0,,0.0
221870,0.265,2016.0,10.0,3.5,1.0,0.0,0.15,0.0
221942,,2001.0,51.0,,1.0,0.0,237.0,0.0
221991,,2006.0,7.0,,0.0,1.0,,0.0
222015,100.0,2018.0,9.0,,1.0,0.0,100.0,0.0
222035,55.701325,2015.0,52.0,,0.0,0.0,40.0,1.0
222088,35.043364,2013.0,10.0,,1.0,0.0,25.000002,1.0
222126,70.050004,2000.0,250.0,36.9,0.0,1.0,377.5,1.0
222205,,2019.0,8.0,,0.0,0.0,,0.0
222249,3.0500000000000003,2017.0,11.0,1.0,0.0,1.0,1.8,0.0
222349,2.1,2005.0,,,1.0,0.0,2.1,0.0
222511,5.758364,2011.0,30.0,5.0,1.0,0.0,2.5,0.0
222624,,2018.0,5.0,,0.0,1.0,,0.0
222680,,2000.0,,,0.0,1.0,,0.0
222867,21.66817,2011.0,32.0,,0.0,1.0,40.0,1.0
222903,,,,,0.0,1.0,217.7,0.0
222995,,2005.0,,,0.0,1.0,,0.0
223096,12.50841096,2012.0,9.0,,0.0,1.0,12.0,0.0
223135,10.0,2014.0,11.0,,0.0,0.0,10.0,1.0
223152,2.0,2011.0,,4.0,1.0,0.0,2.0,1.0
223156,,2011.0,5.0,,1.0,0.0,,0.0
223271,,2004.0,100.0,38.0,0.0,1.0,295.0,0.0
223688,,2007.0,40.0,4.4,0.0,1.0,,0.0
223756,26.519999,2014.0,18.0,3.0,0.0,0.0,19.999999,1.0
223794,0.14,2016.0,2.0,,1.0,0.0,0.12,0.0
223877,0.685,2017.0,11.0,,0.0,1.0,0.685,0.0
223951,1.74,2016.0,34.0,,0.0,0.0,1.1,0.0
