role_k500_v3,count
Inspector,743.0
Clinical Dietitian,731.0
Provider Relations,715.0
Medical Coder,707.0
Loan Signing Agent,694.0
Financial Recruiter,683.0
Data Governance Analyst,682.0
Banking Product Development,681.0
Transportation Coordinator,681.0
Optometrist,658.0
Ophthalmic and Hearing Nurse,657.0
Automation Specialist,656.0
Medical Billing,641.0
Human Factors Engineer,634.0
Nuclear Operations Technician,626.0
Proposal Writer,626.0
Immigration Advisor,625.0
Supplier Quality Assurance,620.0
Veterans Support Coordinator,579.0
Print Operations,577.0
Manufacturing Finance Analyst,565.0
Data Privacy,541.0
Oil and Gas Analyst,534.0
Performance Engineer,532.0
HCM Systems Analyst,530.0
Knowledge Analyst,519.0
Customer Service Trainer,514.0
Energy and Mining Operations,513.0
Salesforce Developer,512.0
Occupational Health Nurse,506.0
Localization Project Manager,483.0
Business Continuity Analyst,478.0
Security Project Manager,473.0
Configuration Analyst,462.0
Onboarding Coordinator,455.0
Delivery Operations Coordinator,444.0
Mail Processor,444.0
Medical Project Manager,437.0
GIS Analyst,414.0
Fleet Coordinator,412.0
Plumbing Technician,408.0
Localization Specialist,398.0
Vehicle Cleaner,378.0
Safety and Security Officer,376.0
Licensing Officer,376.0
Network Planner,375.0
Phlebotomy Technician,365.0
AI Project Coordinator,352.0
Logistics Scheduler,349.0
Environmental Technician,348.0
Facilities Technician,343.0
Relocation Consultant,336.0
Data Center Technician,326.0
Fire and Security Technician,311.0
Materials Engineer,307.0
Pest Control,305.0
Medical Transporter,284.0
Sustainable Supply Chain,284.0
Customs Compliance,283.0
Energy Transmission,281.0
Funeral Director,280.0
Geospatial Developer,266.0
Patent Chemist,260.0
Geospatial Analyst,258.0
Renewable Energy Technician,251.0
Food Safety Inspector,241.0
Clinical Supply Chain,239.0
HR Data Analyst,239.0
Document Controller,237.0
Military Recruiter,219.0
Security Clearance Analyst,216.0
Waste Management,205.0
Parts and Aftersales,204.0
LIMS Analyst,204.0
Document Coordinator,192.0
RPA Developer,184.0
Cybersecurity Trainer,180.0
Acquisition Analyst,176.0
Document Processing Technician,171.0
Medical Logistics,167.0
Supplier Diversity,159.0
Labeling Coordinator,158.0
Dispensary Consultant,155.0
Regulatory Scientist,155.0
Traffic Control,154.0
Subcontract Manager,150.0
Incident Response,149.0
Training Quality Analyst,144.0
Casino Operations,143.0
Trust and Safety Officer,143.0
Mainframe Engineer,143.0
Food Service Volunteer,138.0
Ophthalmic Technician,137.0
Electrical Trainer,133.0
Sterile Processing Technician,116.0
Warranty Analyst,115.0
Quantity Surveyor,108.0
ServiceNow Consultant,107.0
Veterinary Receptionist,104.0
Global Mobility,101.0
BIM Coordinator,100.0
Bid Manager,100.0
Digital Forensic Analyst,98.0
School Bus Operations,97.0
Safety Trainer,94.0
IT Asset Manager,93.0
Locksmith,85.0
Waste Management Technician,82.0
Fire Protection Engineer,81.0
Fuel Operations Coordinator,77.0
Bid Coordinator,73.0
Automotive Inspector,67.0
Dynamics 365 Analyst,67.0
EDI Analyst,66.0
Pension Administrator,64.0
ServiceNow Developer,57.0
Procurement Analyst,56.0
Utility Meter Technician,55.0
Recycling Engineer,54.0
Quotation Analyst,49.0
Sanitation Manager,47.0
Apprenticeship Coordinator,46.0
Non-Destructive Testing Technician,37.0
Sanitation Worker,23.0
Offshore Operations,16.0
SAP Trainer,9.0
